date,airline,airline_code,departure_airport,departure_state,departure_lat,departure_lon,arrival_airport,arrival_state,arrival_lat,arrival_lon,departure_schedule,departure_actual,departure_delay,arrival_schedule,arrival_actual,arrival_delay
2009-04-01,F9,20436,ATL,GA,33.63,-84.42,DEN,CO,39.86,-104.67,944,939,-5,1110,1110,0
2009-04-01,F9,20436,ATL,GA,33.63,-84.42,DEN,CO,39.86,-104.67,1600,1629,29,1724,1815,51
2009-04-01,F9,20436,ATL,GA,33.63,-84.42,DEN,CO,39.86,-104.67,1920,1920,0,2046,2049,3
2009-04-01,MQ,20398,ATL,GA,33.63,-84.42,ORD,IL,41.98,-87.9,2000,1955,-5,2110,2033,-37
2009-04-01,MQ,20398,ATL,GA,33.63,-84.42,ORD,IL,41.98,-87.9,1325,1324,-1,1435,1414,-21
2009-04-01,UA,19977,ATL,GA,33.63,-84.42,ORD,IL,41.98,-87.9,704,700,-4,813,748,-25
2009-04-01,UA,19977,ATL,GA,33.63,-84.42,ORD,IL,41.98,-87.9,1705,1658,-7,1821,1757,-24
2009-04-01,UA,19977,ATL,GA,33.63,-84.42,ORD,IL,41.98,-87.9,1009,1004,-5,1118,1127,9
2009-04-01,CO,19704,ATL,GA,33.63,-84.42,EWR,NJ,40.69,-74.16,1915,2057,102,2146,2331,105
2009-04-01,CO,19704,ATL,GA,33.63,-84.42,EWR,NJ,40.69,-74.16,1550,1652,62,1821,1958,97
2009-04-01,CO,19704,ATL,GA,33.63,-84.42,EWR,NJ,40.69,-74.16,740,731,-9,954,940,-14
2009-04-01,CO,19704,ATL,GA,33.63,-84.42,EWR,NJ,40.69,-74.16,1130,1128,-2,1358,1343,-15
2009-04-01,CO,19704,ATL,GA,33.63,-84.42,EWR,NJ,40.69,-74.16,1715,1824,69,2000,2050,50
2009-04-01,CO,19704,ATL,GA,33.63,-84.42,EWR,NJ,40.69,-74.16,1230,1216,-14,1459,1507,8
2009-04-01,CO,19704,ATL,GA,33.63,-84.42,IAH,TX,29.98,-95.34,1835,1825,-10,1957,2006,9
2009-04-01,CO,19704,ATL,GA,33.63,-84.42,IAH,TX,29.98,-95.34,840,832,-8,1008,1024,16
2009-04-01,CO,19704,ATL,GA,33.63,-84.42,IAH,TX,29.98,-95.34,640,634,-6,800,802,2
2009-04-01,CO,19704,ATL,GA,33.63,-84.42,IAH,TX,29.98,-95.34,1630,1622,-8,1758,1815,17
2009-04-01,CO,19704,ATL,GA,33.63,-84.42,IAH,TX,29.98,-95.34,1048,1052,4,1212,1225,13
2009-04-01,CO,19704,ATL,GA,33.63,-84.42,IAH,TX,29.98,-95.34,1404,1354,-10,1525,1528,3
2009-04-01,DL,19790,ATL,GA,33.63,-84.42,STT,VI,18.33,-64.97,1135,1133,-2,1512,1454,-18
2009-04-01,DL,19790,ATL,GA,33.63,-84.42,STT,VI,18.33,-64.97,1000,1000,0,1345,1347,2
2009-04-01,DL,19790,ATL,GA,33.63,-84.42,HNL,HI,21.31,-157.92,1010,1030,20,1414,1407,-7
2009-04-01,DL,19790,ATL,GA,33.63,-84.42,ABQ,NM,35.04,-106.6,1654,1715,21,1832,1845,13
2009-04-01,DL,19790,ATL,GA,33.63,-84.42,ABQ,NM,35.04,-106.6,1055,1051,-4,1226,1237,11
2009-04-01,DL,19790,ATL,GA,33.63,-84.42,ABQ,NM,35.04,-106.6,1935,1929,-6,2115,2109,-6
2009-04-01,DL,19790,ATL,GA,33.63,-84.42,PDX,OR,45.58,-122.59,1900,1912,12,2124,2147,23
2009-04-01,DL,19790,ATL,GA,33.63,-84.42,PDX,OR,45.58,-122.59,1644,1653,9,1902,1920,18
2009-04-01,DL,19790,ATL,GA,33.63,-84.42,PDX,OR,45.58,-122.59,835,839,4,1055,1111,16
